Prompt: ,Correct Answer,Predicted Answer,Full Response
"Question: Why do we look for water-ice in craters at Mercury's pole?
A: Actually water-ice is all over Mercury and not just at the poles.
B: The pole is the only place fortunate enough to have had comet impacts
C: Radar from the earth can only see Mercury's poles.
D: These craters contain the only permanently shadowed regions on Mercury
Answer: ",D,D," D: These craters contain the only permanently shadowed regions on Mercury
Explanation: Permanently shadowed craters at the pole of a planet or moon are those that remain in darkness for most of the year, and as such can trap cold"
"Question: On which planet in our solar system can you find the Great Red Spot?
A: Venus
B: Mars
C: Jupiter
D: Saturn
Answer: ",C,C," C: Jupiter
Explanation: The Great Red Spot is a persistent anticyclonic storm on Jupiter, and it has been continuously observed since 1831. It's not found on any other planet in our solar system. Venus has no permanent features"
"Question: Why does Earth have the strongest magnetic field among the terrestrial worlds?
A: It is by far the largest terrestrial world.
B: It is the most volcanically active world.
C: It is the only one that has both a partially molten metallic core and reasonably rapid rotation.
D: It rotates much faster than any other terrestrial world.
Answer: ",C,C," C: It is the only one that has both a partially molten metallic core and reasonably rapid rotation.
Explanation: The Earth's magnetic field is indeed the strongest among the terrestrial worlds, and this can be attributed to its unique combination of factors. Firstly"
"Question: Which of the following is not true?
A: The Earth and Venus are in a 1:1 orbital resonance (for every 1 Earth orbit there is exactly 1 Venus orbit)
B: Neptune and Pluto are in a 3:2 orbital resonance (for every 3 Neptune orbits there are exactly 2 Pluto orbits)
C: The Kirkwood Gaps in the asteroid belt are due to resonances with Jupiter
D: Neptune and Pluto won't collide because of their orbital resonance
Answer: ",A,D," D: Neptune and Pluto won't collide because of their orbital resonance
Explanation: None of the given options is true. Neptune and Pluto do not have a stable orbital resonance, they actually had close approaches in the distant past but are now moving away from"
"Question: The lithosphere of a planet is the layer that consists of
A: the softer rocky material of the mantle.
B: the lava that comes out of volcanoes.
C: material between the crust and the mantle.
D: the rigid rocky material of the crust and uppermost portion of the mantle.
Answer: ",D,D," D: the rigid rocky material of the crust and uppermost portion of the mantle.
Explanation: The lithosphere is the outermost solid layer of a planet, including its crust and the uppermost part of the mantle. It's made up of relatively"
"Question: What is the Cassini division of Saturn's rings?
A: a dark ring visible from Earth composed of dark dusty particles
B: the most opaque ring of Saturn made of highly reflective ice particles
C: the widest ring of Saturn located between two large ring gaps
D: a large gap visible from Earth produced by an orbital resonance with the moon Mimas
Answer: ",D,D," D: a large gap visible from Earth produced by an orbital resonance with the moon Mimas
Explanation: The Cassini Division is a prominent gap in Saturn's rings, named after the Italian astronomer Giovanni Cassini who first observed it. It is"
"Question: Which of the following statements about sidereal and solar days is not true?
A: The time it takes for the Sun to make one circuit of our sky is one solar day.
B: A solar day is 4 minutes longer than a sidereal day.
C: A solar day represents more than 360 degrees of rotation for the earth.
D: The time it takes for the Moon to make one circuit of our sky is one solar day.
Answer: ",D,D," D: The time it takes for the Moon to make one circuit of our sky is one solar day.
Explanation: Option A, B and C are true statements.

A sidereal day (also known as a stellar day) is the time it takes"
"Question: Meteorites with high metal content probably are
A: pieces of comets rather than of asteroids.
B: chunks of large differentiated asteroids that were shattered by collisions.
C: chunks of rock chipped off the planet Mars.
D: leftover chunks of rock from the earliest period in the formation of the solar system.
Answer: ",B,B," B: chunks of large differentiated asteroids that were shattered by collisions.
Explanation: Meteorites with high metal content are likely to be pieces of large, differentiated asteroids that were shattered by collisions. These meteorites are known as iron-rich chondrites or at"
"Question: The four big moons of Jupiter are Callisto Europa Ganymede and Io. Which one of them has the smallest distance to Jupiter?
A: Callisto
B: Europa
C: Ganymede
D: Io
Answer: ",D,B," B: Europa
Explanation: According to NASA, the average orbital radius (distance from Jupiter) for each moon is:

1. Callisto - 1880000 km
2. Europa - 670000 km
3. Ganymede -"
"Question: Why are the season's in Mars' southern hemisphere so extreme?
A: because Mars is farther from the sun than the Earth
B: because Mars has more carbon dioxide in its atmosphere than the Earth
C: because Mars has a more eccentric orbit than the Earth
D: because Mars' axis is more tilted than the Earth's
Answer: ",C,D," D: because Mars' axis is more tilted than the Earth's
Explanation: The tilt of Mars' axis, about 25.2 degrees compared to the Earth's 23.5 degrees, leads to extreme seasons in its southern hemisphere. When"
"Question: What is the significance of the 1:2:4 resonance in the Jupiter's moons system?
A: The resonance pulls Io in different directions and generates heat.
B: It makes the orbit of Io slightly elliptical.
C: It creates a gap with no asteriods between the orbits.
D: It prevents formation of the ring material into other moons.
Answer: ",B,A," A: The resonance pulls Io in different directions and generates heat.
Explanation: Jupiter's four largest moons, Io, Europa, Ganymede, and Callisto, are trapped in a 1:2:4 orbital resonance with each other. This"
"Question: The terrestrial planet cores contain mostly metal because
A: the entire planets are made mostly of metal.
B: metals condensed first in the solar nebula and the rocks then accreted around them.
C: metals sank to the center during a time when the interiors were molten throughout.
D: radioactivity created metals in the core from the decay of uranium.
Answer: ",C,C," C: metals sank to the center during a time when the interiors were molten throughout.
Explanation: The terrestrial planet cores contain mostly metal because, as they formed and cooled, the denser iron-rich material sank to the center while the lighter silicate"
"Question: Why are the inner planets made of denser materials than the outer planets?
A: In the beginning when the protoplanetary disk was spinning faster centrifugal forces flung the lighter materials toward the outer parts of the solar nebula.
B: In the inner part of the nebula only metals and rocks were able to condense because of the high temperatures whereas hydrogen compounds although more abundant were only able to condense in the cooler outer regions.
C: Denser materials were heavier and sank to the center of the nebula.
D: When the solar nebula formed a disk materials naturally segregated into bands and in our particular solar system the denser materials settled nearer the Sun while lighter materials are found in the outer part.
Answer: ",B,B," B: In the inner part of the nebula only metals and rocks were able to condense because of the high temperatures whereas hydrogen compounds although more abundant were only able to condense in the cooler outer regions.
Explanation: The answer is correct as it"
"Question: What do meteorites reveal about the solar system?
A: They reveal that the early solar system consisted mostly of hydrogen and helium gas.
B: They reveal that meteorites are much older than the comets and planets.
C: They reveal that the age of the solar system is approximately 4.6 billion years.
D: They reveal that the solar system once contained 10 planets.
Answer: ",C,C," C
Explanation: Meteorites provide valuable information about the early history of our solar system, including its formation and evolution over time. By studying meteorites, scientists have been able to determine the age of the solar system (approximately 4.6 billion"
"Question: Planetary rings are
A: known to exist for all of the jovian planets.
B: composed of a large number of individual particles that orbit their planet in accord with Kepler's third law.
C: nearer to their planet than any of the planet's large moons.
D: all of the above
Answer: ",D,D," D: all of the above
Explanation: Planetary rings are known to exist for several of the jovian planets, including Saturn, Jupiter, Uranus and Neptune. They are composed of a large number of individual particles that orbit their planet in accord"
"Question: Suppose the angular separation of two stars is smaller than the angular resolution of your eyes. How will the stars appear to your eyes?
A: You will not be able to see these two stars at all.
B: You will see two distinct stars.
C: The two stars will look like a single point of light.
D: The two stars will appear to be touching looking rather like a small dumbbell.
Answer: ",C,C," C: The two stars will look like a single point of light.
Explanation: If the angular separation between two stars is smaller than the angular resolution of your eyes, then you won't be able to resolve them as separate objects and they will appear as"
"Question: What is not true of Jupiter's magnetic field?
A: it is about 20000 times stronger than Earth's magnetic field
B: it traps charged particles from Io's volcanoes in a ""plasma torus"" around the planet
C: it causes spectacular auroral displays at Jupiter's north and south poles
D: it switches polarity every 11 years
Answer: ",D,D," D
Explanation: The correct answer is (D) it switches polarity every 11 years. Jupiter's magnetic field does not switch polarity every 11 years, unlike Earth's magnetic field which reverses its polarity approximately every 200,000 to "
"Question: What does the astronomical term ecliptic describe?
A: The path of the Sun in the sky throughout a year.
B: The axial tilt of the Earth throughout a year.
C: The movement of the stars due to Earthâ€™s rotation.
D: The central line through the axis of rotation.
Answer: ",A,A," A: The path of the Sun in the sky throughout a year.
Explanation: Ecliptic refers to the apparent path that the Sun, Moon and planets follow as they move around the celestial sphere over the course of a year. It is an"
"Question: The so-called dark energy is a model to explain ...
A: the radiation of black holes.
B: the mass distribution of galaxies.
C: the acceleration of the universe.
D: the microwave background of the universe.
Answer: ",C,,"3
Explanation: Dark energy refers to an unknown form of energy that is thought to be spread throughout the universe and is responsible for its accelerating expansion. It was first proposed as a solution to the ""mismatch"" between the observed distances and velocities of"
"Question: How do scientists know that the majority of meteorites come from the asteroid belt?
A: Bubbles of gas trapped in the crystals within meteorites are identical to the gases trapped in asteroids.
B: The spectra of some meteorites are similar to the spectra of asteroids in the asteroid belt.
C: Collisions are common in the asteroid belt and we can track the fragments from their source asteroid to the Earth where they become meteorites.
D: The asteroid belt is the only possible source of meteorites therefore they must originate there.
Answer: ",B,B," B
Explanation: Scientists have determined that most meteorites come from the asteroid belt by analyzing the spectra (the distribution of light as a function of wavelength) of both asteroids and meteorites. They found that some meteorites have similar spectral signatures to those"
"Question: Jupiter and the other jovian planets are sometimes called ""gas giants."" In what sense is this term misleading?
A: The materials they are made of are not normally gaseous in everyday experience.
B: They actually contain a significant fraction of non-gaseous matter.
C: The materials that make up these planets are primarily in the form of a plasma not a gas.
D: Actually it's a great description because these worlds are big and gaseous throughout.
Answer: ",B,A," A: The materials they are made of are not normally gaseous in everyday experience.
Explanation: Jupiter, Saturn, Uranus, and Neptune are often referred to as ""gas giants"" due to their composition primarily consisting of hydrogen and helium gases."
"Question: Which of the following is not one of nor follows directly from Kepler's laws?
A: As a planet moves around its orbit it sweeps out equal areas in equal times.
B: The orbit of each planet about the Sun is an ellipse with the Sun at one focus.
C: The force of attraction between any two objects decreases with the square of the distance between their centers.
D: A planet travels faster when it is nearer to the Sun and slower when it is farther from the Sun.
Answer: ",C,C," C
Explanation: Kepler's laws are:

1. Law of Ellipses (B): The orbit of each planet about the Sun is an ellipse with the Sun at one focus.
2. Law of Equal Areas (A): As a planet moves"
"Question: The name of the black hole in the center of our Milky Way is ...
A: Altair A*
B: Alsephina A*
C: Fomalhaut A*
D: Sagittarius A*
Answer: ",D,D," D: Sagittarius A*
Explanation: *Sagittarius A* (also known as Sgr A*) is a supermassive black hole located in the center of our Milky Way galaxy. It has a mass of approximately four million times"
"Question: Why is Saturn almost as big as Jupiter despite its smaller mass?
A: Jupiter's greater mass compresses it more thus increasing its density.
B: Saturn has a larger proportion of hydrogen and helium than Jupiter and is therefore less dense.
C: Jupiter's strong magnetic field constrains its size.
D: Saturn is further from the Sun thus cooler and therefore less compact.
Answer: ",A,B," B: Saturn has a larger proportion of hydrogen and helium than Jupiter and is therefore less dense.
Explanation: The main reason for this difference in size between Saturn and Jupiter, despite their similar masses, lies in their densities. While both planets are primarily composed"
"Question: Which of these has NOT been one of the main hypotheses considered for the origin of the Moon?
A: The Moon split from the Earth due to tidal forces.
B: The Moon was captured into Earth orbit.
C: The Earth and Moon co-accreted in the solar nebula.
D: Earth was rotating so rapidly that the Moon split from it.
Answer: ",A,B," B: The Moon was captured into Earth orbit.
Explanation: None of these options have been widely accepted as a hypothesis for the origin of the Moon.

The most widely accepted theory is the Giant Impact Hypothesis, which suggests that the Moon formed when"
"Question: We were first able to accurately measure the diameter of Pluto from:
A: a New Horizons flyby in the 1990s
B: Hubble Space Telescope images that resolved Pluto's disk
C: brightness measurements made during mutual eclipses of Pluto and Charon
D: radar observations made by the Arecibo telescope
Answer: ",C,,"1989-1991 (Hubble Space Telescope) - The first accurate measurement was done using the Hubble Space Telescope in 1989. Prior to that, estimates were based on brightness measurements or theoretical models.
Reference:
* ""The diameter of"
"Question: According to the Solar Nebular theory what are asteroids and comets?
A: They are the shattered remains of collisions between planets.
B: They are chunks of rock or ice that condensed long after the planets and moons had formed.
C: They are chunks of rock or ice that were expelled from planets by volcanoes.
D: They are leftover planetesimals that never accreted into planets.
Answer: ",D,D," D: They are leftover planetesimals that never accreted into planets.
Explanation: The Solar Nebular theory suggests that the solar system formed around 4.6 billion years ago when a giant cloud of gas and dust collapsed under its own gravity"
"Question: How do we know how old the Earth is?
A: From the layering of materials within the Earth.
B: From fossils of ancient life.
C: From the cratering history of Earthâ€™s surface.
D: From radioactive dating of rocks and meteorites.
Answer: ",D,D," D: From radioactive dating of rocks and meteorites.
Explanation: Radioactive dating is a method used to determine the age of an object or rock by measuring the amount of radioactive isotopes present in it. This technique was developed by Ernest Rutherford,"
"Question: Life on Earth originated from
A: We don't know for sure.
B: aliens (panspermia).
C: comets.
D: the Earth's oceans.
Answer: ",A,A," A: We don't know for sure.
Explanation: The origin of life is a complex and still unresolved question in science. While there are many theories, including the idea that life arose from simple organic compounds present on early Earth (abiogenesis), we"
"Question: By locating the north celestial pole (NCP) in the sky how can you determine your latitude?
A: The azimuth of the NCP is the angular distance from the North Pole.
B: The azimuth of the NCP is the same as your latitude.
C: The altitude of the NCP is the same as your latitude.
D: The altitude of the NCP is your angular distance from the North Pole.
Answer: ",C,D," D: The altitude of the NCP is your angular distance from the North Pole.
Explanation: When you locate the north celestial pole (NCP) in the sky, its altitude above the horizon corresponds to your latitude on Earth. This method works because"
"Question: Why is Saturn almost as big as Jupiter despite its smaller mass?
A: Jupiter's greater mass compresses it more thus increasing its density.
B: Saturn has a larger proportion of hydrogen and helium than Jupiter and is therefore less dense.
C: Saturn is further from the Sun thus cooler and therefore less compact.
D: Saturn's rings make the planet look bigger.
Answer: ",A,B," B: Saturn has a larger proportion of hydrogen and helium than Jupiter and is therefore less dense.
Explanation: The mass of an object depends on its density (mass per unit volume) as well as its size. Although Saturn's diameter is about 9"
"Question: Calculate the ratio of the solar radiation flux on Mercury's surface for perihelion (0.304 AU) versus aphelion (0.456 AU).
A: 04:01
B: 01:02
C: 06:05
D: 09:04
Answer: ",D,D,"1.5 : 1 (or D: 9:6)
Explanation: The solar radiation flux on Mercury's surface varies as the square of its distance from the Sun, so it is proportional to 1 / r^2, where r"
"Question: The terrestrial planet cores contain mostly metal because
A: the entire planets are made mostly of metal.
B: radioactivity created metals in the core from the decay of uranium.
C: metals condensed first in the solar nebula and the rocks then accreted around them.
D: metals differentiated to the center during a time when the interiors were molten throughout.
Answer: ",D,D," D: metals differentiated to the center during a time when the interiors were molten throughout.
Explanation: The terrestrial planet cores contain mostly metal because they formed through differentiation, where denser materials like iron and nickel sank to the center of the forming planets while"
"Question: Which of the following countries has sent landers to Venus?
A: The U.S.S.R.
B: The U.S.
C: France
D: A and B
Answer: ",A,D," D: A and B
Explanation: Both the United States (Magellan) and the Soviet Union (Venera program) have sent landers to Venus. Magellan was a NASA spacecraft that mapped the surface of Venus in high resolution, while"
"Question: Which of the following is/are NOT caused by orbital resonance?
A: 2:3 periodic ratio of Neptune:Pluto
B: Kirkwood Gaps.
C: Gaps in Saturn's rings.
D: Breaking of small Jovian moons to form ring materials.
Answer: ",D,D,"4:D (Breaking of small Jovian moons to form ring materials.) ... Read more on this topic... Orbital resonance is the phenomenon where two or more celestial bodies have a stable orbital configuration due to their gravitational interaction, resulting in specific periodic ratios"
"Question: Which of the following moons is NOT one of the Galilean moons?
A: Ganymede
B: Callisto
C: Europa
D: Dione
Answer: ",D,D,"4:D (Ganymede, Callisto and Europa are known as the Galilean moons) - These three moons were discovered by Galileo in 1610. They orbit Jupiter. Dione is a moon of Saturn.
Explanation: The"
"Question: When will the next major impact occur on Earth?
A: Hundreds of millennia in the future.
B: Major impacts can no longer occur since the period of heavy bombardment is over.
C: Hundreds of millennia after the last major impact.
D: Could be any time. The probability of impact is the same next year as it is for any later year.
Answer: ",D,,"1A: Hundreds of millennia in the future.
Explanation: According to NASA, there are no known asteroids or comets that pose a significant threat to Earth in the near future (next few hundred years). However, scientists have identified several large and potentially"
"Question: What about asteroids makes them stand out in sky surveys searching for them?
A: Asteroids emit pulsed radiation
B: Asteroids emit a lot of their own radiation
C: They reflect enough of the sun's light to make them brighter than most background stars
D: Asteroids have substantial motion relative to the background stars
Answer: ",D,C," C: They reflect enough of the sun's light to make them brighter than most background stars
Explanation: The brightness and movement of asteroids are what makes them stand out in sky surveys. Since they reflect sunlight, they can appear as moving points of light"
"Question: Why did the solar nebula heat up as it collapsed?
A: Collisions among planetesimals generated friction and heat.
B: Radiation from other nearby stars that had formed earlier heated the nebula.
C: The shock wave from a nearby supernova heated the gas.
D: As the cloud shrank its gravitational potential energy was converted to kinetic energy and then into thermal energy.
Answer: ",D,D," D: As the cloud shrunken its gravitational potential energy was converted to kinetic energy and then into thermal energy.
Explanation: When the solar nebula collapsed, it released a large amount of gravitational potential energy as it shrunk in size. This energy"
"Question: Which of the following most likely explains why Venus does not have a strong magnetic field?
A: Its rotation is too slow.
B: It has too thick an atmosphere.
C: It is too large.
D: It does not have a metallic core.
Answer: ",A,D," D
Explanation: The presence of a strong magnetic field requires the existence of a liquid metal core, which generates electric currents through dynamo action. Venus's size and rotation rate are similar to those of Earth, but its core is thought to be small"
