Prompt: ,Correct Answer,Predicted Answer,Full Response
"Question: What is the significance of the 1:2:4 resonance in the Jupiter's moons system?
A: The resonance pulls Io in different directions and generates heat.
B: It makes the orbit of Io slightly elliptical.
C: It creates a gap with no asteriods between the orbits.
D: It prevents formation of the ring material into other moons.
Answer: ",B,D," D: It prevents formation of the ring material into other moons.
The resonance is significant because it helps to prevent the formation of additional moons in Jupiter's system. In this specific resonance, Io orbits twice around its"
"Question: The terrestrial planet cores contain mostly metal because
A: the entire planets are made mostly of metal.
B: metals condensed first in the solar nebula and the rocks then accreted around them.
C: metals sank to the center during a time when the interiors were molten throughout.
D: radioactivity created metals in the core from the decay of uranium.
Answer: ",C,B," B, C
The cores of terrestrial planets are mostly metal because these metals condensed first in the solar nebula and then rocks accreted around them. When a planetary body was forming, its interior would have been"
"Question: Why are the inner planets made of denser materials than the outer planets?
A: In the beginning when the protoplanetary disk was spinning faster centrifugal forces flung the lighter materials toward the outer parts of the solar nebula.
B: In the inner part of the nebula only metals and rocks were able to condense because of the high temperatures whereas hydrogen compounds although more abundant were only able to condense in the cooler outer regions.
C: Denser materials were heavier and sank to the center of the nebula.
D: When the solar nebula formed a disk materials naturally segregated into bands and in our particular solar system the denser materials settled nearer the Sun while lighter materials are found in the outer part.
Answer: ",B,D, D
"Question: What do meteorites reveal about the solar system?
A: They reveal that the early solar system consisted mostly of hydrogen and helium gas.
B: They reveal that meteorites are much older than the comets and planets.
C: They reveal that the age of the solar system is approximately 4.6 billion years.
D: They reveal that the solar system once contained 10 planets.
Answer: ",C,C," C: They reveal that the age of the solar system is approximately 4.6 billion years.
Explanation: Meteorites are rocks or metallic objects from outer space that have fallen to Earth's surface due to their high"
"Question: Planetary rings are
A: known to exist for all of the jovian planets.
B: composed of a large number of individual particles that orbit their planet in accord with Kepler's third law.
C: nearer to their planet than any of the planet's large moons.
D: all of the above
Answer: ",D,D," D, all of the above.
Rings around planets are known for Jupiter, Saturn, Uranus and Neptune (the jovian planets). They consist of a multitude of small particles that orbit their planet in accord"
"Question: Suppose the angular separation of two stars is smaller than the angular resolution of your eyes. How will the stars appear to your eyes?
A: You will not be able to see these two stars at all.
B: You will see two distinct stars.
C: The two stars will look like a single point of light.
D: The two stars will appear to be touching looking rather like a small dumbbell.
Answer: ",C,C," C: The two stars will look like a single point of light.
Explanation: If the angular separation between two objects is smaller than your angular resolution, you won't be able to distinguish them as separate points of light; they will"
"Question: What is not true of Jupiter's magnetic field?
A: it is about 20000 times stronger than Earth's magnetic field
B: it traps charged particles from Io's volcanoes in a ""plasma torus"" around the planet
C: it causes spectacular auroral displays at Jupiter's north and south poles
D: it switches polarity every 11 years
Answer: ",D,D," D: it switches polarity every 11 years.
Explanation: The magnetic field of Jupiter is about 20,000 times stronger than Earth's magnetic field (A). It traps charged particles from"
"Question: What does the astronomical term ecliptic describe?
A: The path of the Sun in the sky throughout a year.
B: The axial tilt of the Earth throughout a year.
C: The movement of the stars due to Earthâ€™s rotation.
D: The central line through the axis of rotation.
Answer: ",A,,"
The astronomical term ecliptic describes the path of the Sun in the sky throughout a year. It is an imaginary line on the celestial sphere, along which the Sun appears to move from one solstice to another. This"
"Question: The so-called dark energy is a model to explain ...
A: the radiation of black holes.
B: the mass distribution of galaxies.
C: the acceleration of the universe.
D: the microwave background of the universe.
Answer: ",C,C, C: the acceleration of the universe.
"Question: How do scientists know that the majority of meteorites come from the asteroid belt?
A: Bubbles of gas trapped in the crystals within meteorites are identical to the gases trapped in asteroids.
B: The spectra of some meteorites are similar to the spectra of asteroids in the asteroid belt.
C: Collisions are common in the asteroid belt and we can track the fragments from their source asteroid to the Earth where they become meteorites.
D: The asteroid belt is the only possible source of meteorites therefore they must originate there.
Answer: ",B,B," B, C"
"Question: Jupiter and the other jovian planets are sometimes called ""gas giants."" In what sense is this term misleading?
A: The materials they are made of are not normally gaseous in everyday experience.
B: They actually contain a significant fraction of non-gaseous matter.
C: The materials that make up these planets are primarily in the form of a plasma not a gas.
D: Actually it's a great description because these worlds are big and gaseous throughout.
Answer: ",B,B," B: They actually contain a significant fraction of non-gaseous matter.
Jupiter, Saturn, Uranus, and Neptune are often called ""gas giants"" because they have thick atmospheres composed mainly of hydro"
"Question: Which of the following is not one of nor follows directly from Kepler's laws?
A: As a planet moves around its orbit it sweeps out equal areas in equal times.
B: The orbit of each planet about the Sun is an ellipse with the Sun at one focus.
C: The force of attraction between any two objects decreases with the square of the distance between their centers.
D: A planet travels faster when it is nearer to the Sun and slower when it is farther from the Sun.
Answer: ",C,C," C
Explanation: Kepler's laws describe how planets move around the sun, but they do not directly give us information about the force of attraction between two objects. That is given by Newton's law of gravitation. Therefore option"
"Question: The name of the black hole in the center of our Milky Way is ...
A: Altair A*
B: Alsephina A*
C: Fomalhaut A*
D: Sagittarius A*
Answer: ",D,D," D: Sagittarius A*.

Sagittarius A*, also known as Sgr A*, is the supermassive black hole in the center of our Milky Way galaxy. It has a mass about four million times that of"
"Question: Why is Saturn almost as big as Jupiter despite its smaller mass?
A: Jupiter's greater mass compresses it more thus increasing its density.
B: Saturn has a larger proportion of hydrogen and helium than Jupiter and is therefore less dense.
C: Jupiter's strong magnetic field constrains its size.
D: Saturn is further from the Sun thus cooler and therefore less compact.
Answer: ",A,D, D: Saturn is further from the Sun thus cooler and therefore less compact.
"Question: Which of these has NOT been one of the main hypotheses considered for the origin of the Moon?
A: The Moon split from the Earth due to tidal forces.
B: The Moon was captured into Earth orbit.
C: The Earth and Moon co-accreted in the solar nebula.
D: Earth was rotating so rapidly that the Moon split from it.
Answer: ",A,D," D
The main hypotheses considered for how the Moon formed are A, B, and C. The tidal forces hypothesis (A) proposes that the Moon formed when a Mars-sized object hit the early Earth, tearing off a piece"
"Question: We were first able to accurately measure the diameter of Pluto from:
A: a New Horizons flyby in the 1990s
B: Hubble Space Telescope images that resolved Pluto's disk
C: brightness measurements made during mutual eclipses of Pluto and Charon
D: radar observations made by the Arecibo telescope
Answer: ",C,B," B, C
The diameter of Pluto was first accurately measured using Hubble Space Telescope images that resolved its disk. In addition, a technique called astrometry allowed scientists to measure the distance between Pluto and its moon Charon with"
"Question: According to the Solar Nebular theory what are asteroids and comets?
A: They are the shattered remains of collisions between planets.
B: They are chunks of rock or ice that condensed long after the planets and moons had formed.
C: They are chunks of rock or ice that were expelled from planets by volcanoes.
D: They are leftover planetesimals that never accreted into planets.
Answer: ",D,D," D: They are leftover planetesimals that never accreted into planets.
Explanation: The Solar Nebular theory is the prevailing model for the formation of the solar system, including its stars and planets. According"
"Question: How do we know how old the Earth is?
A: From the layering of materials within the Earth.
B: From fossils of ancient life.
C: From the cratering history of Earthâ€™s surface.
D: From radioactive dating of rocks and meteorites.
Answer: ",D,D, D. From radioactive dating of rocks and meteorites.
"Question: Life on Earth originated from
A: We don't know for sure.
B: aliens (panspermia).
C: comets.
D: the Earth's oceans.
Answer: ",A,,"1,2,3

The most widely accepted theory is that life on earth began in the ocean from organic compounds and simple cells. However, there are other theories as well. For example, some scientists believe that life may have originated"
"Question: By locating the north celestial pole (NCP) in the sky how can you determine your latitude?
A: The azimuth of the NCP is the angular distance from the North Pole.
B: The azimuth of the NCP is the same as your latitude.
C: The altitude of the NCP is the same as your latitude.
D: The altitude of the NCP is your angular distance from the North Pole.
Answer: ",C,B," B and C
Explanation: Since Earth's axis is tilted, the azimuth (angular distance) of the NCP changes throughout the year. However, at any given time, the altitude (angle above the horizon)"
"Question: Why is Saturn almost as big as Jupiter despite its smaller mass?
A: Jupiter's greater mass compresses it more thus increasing its density.
B: Saturn has a larger proportion of hydrogen and helium than Jupiter and is therefore less dense.
C: Saturn is further from the Sun thus cooler and therefore less compact.
D: Saturn's rings make the planet look bigger.
Answer: ",A,C," C, D"
"Question: Calculate the ratio of the solar radiation flux on Mercury's surface for perihelion (0.304 AU) versus aphelion (0.456 AU).
A: 04:01
B: 01:02
C: 06:05
D: 09:04
Answer: ",D,,"04:01
Solution: The solar radiation flux on Mercury's surface is inversely proportional to the square of the distance from the Sun. At perihelion, Mercury is at a distance of $2"
"Question: The terrestrial planet cores contain mostly metal because
A: the entire planets are made mostly of metal.
B: radioactivity created metals in the core from the decay of uranium.
C: metals condensed first in the solar nebula and the rocks then accreted around them.
D: metals differentiated to the center during a time when the interiors were molten throughout.
Answer: ",D,C," C: metals condensed first in the solar nebula and the rocks then accreted around them.
Explanation: The cores of terrestrial planets are mostly metal because, as they formed from the solar nebula"
"Question: Which of the following countries has sent landers to Venus?
A: The U.S.S.R.
B: The U.S.
C: France
D: A and B
Answer: ",A,D," D) A and B
The United States (the U.S.) and the former Soviet Union (now Russia, which was then known as the U.S.S.R.) have both sent landers to Venus. The Soviet V"
"Question: Which of the following is/are NOT caused by orbital resonance?
A: 2:3 periodic ratio of Neptune:Pluto
B: Kirkwood Gaps.
C: Gaps in Saturn's rings.
D: Breaking of small Jovian moons to form ring materials.
Answer: ",D,A," A, D
Debrief: Orbital resonance is a phenomenon where the orbital period (time taken for one orbit) of two celestial bodies are related by simple ratios such as 1:2 or 3:"
"Question: Which of the following moons is NOT one of the Galilean moons?
A: Ganymede
B: Callisto
C: Europa
D: Dione
Answer: ",D,D," D. Dione
The four largest moons orbiting Jupiter are known as the Galilean moons, and they were discovered by Galileo in 1610. These moons are named Io, Europa, Gan"
"Question: When will the next major impact occur on Earth?
A: Hundreds of millennia in the future.
B: Major impacts can no longer occur since the period of heavy bombardment is over.
C: Hundreds of millennia after the last major impact.
D: Could be any time. The probability of impact is the same next year as it is for any later year.
Answer: ",D,C," C: Hundreds of millennia after the last major impact.

The period of heavy bombardment was a phase in the early history of the Solar System, when planets and their moons were formed by accumulation from debris left"
"Question: What about asteroids makes them stand out in sky surveys searching for them?
A: Asteroids emit pulsed radiation
B: Asteroids emit a lot of their own radiation
C: They reflect enough of the sun's light to make them brighter than most background stars
D: Asteroids have substantial motion relative to the background stars
Answer: ",D,D," D. Asteroids have substantial motion relative to the background stars
Asteroids are small, rocky objects that orbit around the Sun in a region known as the asteroid belt between Mars and Jupiter. They can also be found elsewhere in"
"Question: Why did the solar nebula heat up as it collapsed?
A: Collisions among planetesimals generated friction and heat.
B: Radiation from other nearby stars that had formed earlier heated the nebula.
C: The shock wave from a nearby supernova heated the gas.
D: As the cloud shrank its gravitational potential energy was converted to kinetic energy and then into thermal energy.
Answer: ",D,D," D
The solar nebula contracted under the influence of gravity, converting some of its gravitational potential energy into kinetic energy as it did so. The kinetic energy of motion within the collapsing cloud was converted to"
"Question: Which of the following most likely explains why Venus does not have a strong magnetic field?
A: Its rotation is too slow.
B: It has too thick an atmosphere.
C: It is too large.
D: It does not have a metallic core.
Answer: ",A,D," D: It does not have a metallic core.
Explanation: A planet's magnetic field arises from the motion of conducting materials, such as metals, within its interior. The Earth has a strong magnetic field because it has"
